Lisboa,2012-10-25,00:00,10,60,0
Lisboa,2012-10-25,01:00,10,58,0
Lisboa,2012-10-25,02:00,10,56,0
Lisboa,2012-10-25,03:00,9,55,0
Lisboa,2012-10-25,04:00,9,60,0
Lisboa,2012-10-25,05:00,9,65,0
Lisboa,2012-10-25,06:00,9,70,2
Lisboa,2012-10-25,07:00,10,65,5
Lisboa,2012-10-25,08:00,11,64,4
Lisboa,2012-10-25,09:00,12,62,10
Lisboa,2012-10-25,10:00,13,60,0
Lisboa,2012-10-25,11:00,14,60,0
Lisboa,2012-10-25,12:00,15,60,0
Lisboa,2012-10-25,13:00,16,58,0
Lisboa,2012-10-25,14:00,17,60,0
Lisboa,2012-10-25,15:00,18,58,0
Lisboa,2012-10-25,16:00,17,56,0
Lisboa,2012-10-25,17:00,16,57,0
Lisboa,2012-10-25,18:00,15,57,0
Lisboa,2012-10-25,19:00,14,57,0
Lisboa,2012-10-25,20:00,13,56,0
Lisboa,2012-10-25,21:00,12,55,0
Lisboa,2012-10-25,22:00,11,55,0
Lisboa,2012-10-25,23:00,10,55,0
Evora,2012-10-25,00:00,9,62,0
Evora,2012-10-25,01:00,9,56,0
Evora,2012-10-25,02:00,9,54,0
Evora,2012-10-25,03:00,8,55,0
Evora,2012-10-25,04:00,8,61,0
Evora,2012-10-25,05:00,8,64,1
Evora,2012-10-25,06:00,8,72,2
Evora,2012-10-25,07:00,9,66,0
Evora,2012-10-25,08:00,9,63,0
Evora,2012-10-25,09:00,10,68,0
Evora,2012-10-25,10:00,10,68,0
Evora,2012-10-25,11:00,11,68,0
Evora,2012-10-25,12:00,11,68,0
Evora,2012-10-25,13:00,12,54,0
Evora,2012-10-25,14:00,13,61,0
Evora,2012-10-25,15:00,14,54,0
Evora,2012-10-25,16:00,14,54,0
Evora,2012-10-25,17:00,13,54,0
Evora,2012-10-25,18:00,12,53,0
Evora,2012-10-25,19:00,11,53,0
Evora,2012-10-25,20:00,11,53,0
Evora,2012-10-25,21:00,11,52,0
Evora,2012-10-25,22:00,10,52,0
Evora,2012-10-25,23:00,10,52,0
